,building_city,building_kind,building_state,file_path,highest_peak_time,n_peaks,std_dev,time_peaks
0,FAIRBANKS,FullServiceRestaurantNew,AK,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1/USA_AK_Anchorage.Intl.AP.702730_TMY3/RefBldgFullServiceRestaurantNew2004_v1.3_7.1_8A_USA_AK_FAIRBANKS.csv,8.0,3.0,0.35452390542380385,[ 8 12 19]
1,FAIRBANKS,HospitalNew,AK,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1/USA_AK_Anchorage.Intl.AP.702730_TMY3/RefBldgHospitalNew2004_v1.3_7.1_8A_USA_AK_FAIRBANKS.csv,12.0,2.0,0.4213634293673766,[12 17]
2,FAIRBANKS,LargeHotelNew,AK,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1/USA_AK_Anchorage.Intl.AP.702730_TMY3/RefBldgLargeHotelNew2004_v1.3_7.1_8A_USA_AK_FAIRBANKS.csv,21.0,2.0,0.32175114268905886,[ 8 21]
3,FAIRBANKS,LargeOfficeNew,AK,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1/USA_AK_Anchorage.Intl.AP.702730_TMY3/RefBldgLargeOfficeNew2004_v1.3_7.1_8A_USA_AK_FAIRBANKS.csv,9.0,2.0,0.3953759634020023,[ 9 17]
4,FAIRBANKS,MediumOfficeNew,AK,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1/USA_AK_Anchorage.Intl.AP.702730_TMY3/RefBldgMediumOfficeNew2004_v1.3_7.1_8A_USA_AK_FAIRBANKS.csv,9.0,4.0,0.3443257353236756,[ 9 13 17 22]
5,FAIRBANKS,MidriseApartmentNew,AK,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1/USA_AK_Anchorage.Intl.AP.702730_TMY3/RefBldgMidriseApartmentNew2004_v1.3_7.1_8A_USA_AK_FAIRBANKS.csv,19.0,2.0,0.33477768695007143,[ 8 19]
6,FAIRBANKS,OutPatientNew,AK,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1/USA_AK_Anchorage.Intl.AP.702730_TMY3/RefBldgOutPatientNew2004_v1.3_7.1_8A_USA_AK_FAIRBANKS.csv,10.0,3.0,0.40157136675838023,[10 14 20]
7,FAIRBANKS,PrimarySchoolNew,AK,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1/USA_AK_Anchorage.Intl.AP.702730_TMY3/RefBldgPrimarySchoolNew2004_v1.3_7.1_8A_USA_AK_FAIRBANKS.csv,12.0,2.0,0.4293663215396212,[12 17]
8,FAIRBANKS,QuickServiceRestaurantNew,AK,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1/USA_AK_Anchorage.Intl.AP.702730_TMY3/RefBldgQuickServiceRestaurantNew2004_v1.3_7.1_8A_USA_AK_FAIRBANKS.csv,7.0,3.0,0.3552650217235035,[ 7 12 20]
9,FAIRBANKS,SecondarySchoolNew,AK,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1/USA_AK_Anchorage.Intl.AP.702730_TMY3/RefBldgSecondarySchoolNew2004_v1.3_7.1_8A_USA_AK_FAIRBANKS.csv,15.0,2.0,0.43413815280309526,[ 9 15]
10,FAIRBANKS,SmallHotelNew,AK,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1/USA_AK_Anchorage.Intl.AP.702730_TMY3/RefBldgSmallHotelNew2004_v1.3_7.1_8A_USA_AK_FAIRBANKS.csv,21.0,2.0,0.3276483342822885,[ 8 21]
11,FAIRBANKS,SmallOfficeNew,AK,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1/USA_AK_Anchorage.Intl.AP.702730_TMY3/RefBldgSmallOfficeNew2004_v1.3_7.1_8A_USA_AK_FAIRBANKS.csv,9.0,2.0,0.37550616077638677,[ 9 17]
12,FAIRBANKS,Stand-aloneRetailNew,AK,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1/USA_AK_Anchorage.Intl.AP.702730_TMY3/RefBldgStand-aloneRetailNew2004_v1.3_7.1_8A_USA_AK_FAIRBANKS.csv,17.0,2.0,0.41493468116801485,[13 17]
