,building_city,building_kind,building_state,consumption_avg,consumption_max,file_path,highest_peak_time,n_peaks,std_dev,time_peaks
340,ATLANTA,MediumOfficeNew,GA,86.70151039059802,129.76211919096005,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3//RefBldgMediumOfficeNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,9.0,2.0,37.545142052480266,[ 9 14]
341,ATLANTA,MidriseApartmentNew,GA,30.255027219939976,49.005870254171256,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3//RefBldgMidriseApartmentNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,19.0,1.0,9.71116922435651,[19]
342,ATLANTA,OutPatientNew,GA,162.35633506063212,230.6006223201669,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3//RefBldgOutPatientNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,15.0,1.0,58.12857554846558,[15]
343,ATLANTA,PrimarySchoolNew,GA,109.74295994371955,174.47220762645625,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3//RefBldgPrimarySchoolNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,16.0,1.0,48.88895267948856,[16]
344,ATLANTA,QuickServiceRestaurantNew,GA,23.043517390310765,30.760391411698325,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3//RefBldgQuickServiceRestaurantNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,20.0,3.0,7.419383225024309,[ 7 12 20]
345,ATLANTA,SecondarySchoolNew,GA,432.39254568425315,711.0708299792765,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3//RefBldgSecondarySchoolNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,17.0,1.0,228.26051086560685,[17]
346,ATLANTA,SmallHotelNew,GA,71.95189926453419,110.07206912459446,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3//RefBldgSmallHotelNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,21.0,2.0,21.30220947608151,[ 9 21]
347,ATLANTA,SmallOfficeNew,GA,7.891639811545487,11.622107347106333,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3//RefBldgSmallOfficeNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,17.0,2.0,2.8763475478506155,[12 17]
348,ATLANTA,Stand-aloneRetailNew,GA,40.62402945244718,72.70621978281766,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3//RefBldgStand-aloneRetailNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,17.0,1.0,25.30680764566832,[17]
349,ATLANTA,StripMallNew,GA,36.83445520876597,64.03803358510498,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3//RefBldgStripMallNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,16.0,1.0,20.597865691623813,[16]
350,ATLANTA,SuperMarketNew,GA,203.2920789230096,287.4580929910305,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3//RefBldgSuperMarketNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,12.0,1.0,73.42444336776603,[12]
351,ATLANTA,WarehouseNew,GA,30.428345334290753,55.287832746472,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3//RefBldgWarehouseNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,16.0,2.0,17.384746925666143,[12 16]
352,BALTIMORE,FullServiceRestaurantNew,MD,37.65981481509048,51.69932526407407,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Harrison.AP.723446_TMY3//RefBldgFullServiceRestaurantNew2004_v1.3_7.1_4A_USA_MD_BALTIMORE.csv,19.0,3.0,12.41222709922394,[ 9 13 19]
353,BALTIMORE,HospitalNew,MD,1123.2355082018023,1331.9653814991968,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Harrison.AP.723446_TMY3//RefBldgHospitalNew2004_v1.3_7.1_4A_USA_MD_BALTIMORE.csv,12.0,2.0,185.0211509017434,[12 17]
354,BALTIMORE,LargeHotelNew,MD,289.21262010462607,426.0723333502266,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Harrison.AP.723446_TMY3//RefBldgLargeHotelNew2004_v1.3_7.1_4A_USA_MD_BALTIMORE.csv,21.0,2.0,78.74852097062086,[ 8 21]
355,BALTIMORE,LargeOfficeNew,MD,793.0944249444583,1199.6037222072073,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Harrison.AP.723446_TMY3//RefBldgLargeOfficeNew2004_v1.3_7.1_4A_USA_MD_BALTIMORE.csv,17.0,2.0,380.7001508555798,[ 9 17]
356,BALTIMORE,MediumOfficeNew,MD,86.60324367485724,129.83505717084606,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Harrison.AP.723446_TMY3//RefBldgMediumOfficeNew2004_v1.3_7.1_4A_USA_MD_BALTIMORE.csv,9.0,2.0,37.42677681324256,[ 9 14]
357,BALTIMORE,MidriseApartmentNew,MD,28.582112267913452,46.334504968299704,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Harrison.AP.723446_TMY3//RefBldgMidriseApartmentNew2004_v1.3_7.1_4A_USA_MD_BALTIMORE.csv,19.0,1.0,9.179233569970846,[19]
358,BALTIMORE,OutPatientNew,MD,162.46659059182022,228.57739222672646,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Harrison.AP.723446_TMY3//RefBldgOutPatientNew2004_v1.3_7.1_4A_USA_MD_BALTIMORE.csv,15.0,1.0,57.452662690945864,[15]
359,BALTIMORE,PrimarySchoolNew,MD,105.62000438885173,164.0419649086642,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Harrison.AP.723446_TMY3//RefBldgPrimarySchoolNew2004_v1.3_7.1_4A_USA_MD_BALTIMORE.csv,16.0,1.0,45.33740815589017,[16]
360,BALTIMORE,QuickServiceRestaurantNew,MD,22.59615398985249,30.081359913709093,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Harrison.AP.723446_TMY3//RefBldgQuickServiceRestaurantNew2004_v1.3_7.1_4A_USA_MD_BALTIMORE.csv,20.0,3.0,7.166006468603573,[ 7 12 20]
361,BALTIMORE,SecondarySchoolNew,MD,411.35802272914566,672.7347904883627,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Harrison.AP.723446_TMY3//RefBldgSecondarySchoolNew2004_v1.3_7.1_4A_USA_MD_BALTIMORE.csv,17.0,1.0,222.06150681570492,[17]
362,BALTIMORE,SmallHotelNew,MD,69.94954815891029,107.9248534017444,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Harrison.AP.723446_TMY3//RefBldgSmallHotelNew2004_v1.3_7.1_4A_USA_MD_BALTIMORE.csv,21.0,2.0,20.980879090730046,[ 9 21]
363,BALTIMORE,SmallOfficeNew,MD,7.7900851622731295,11.395585166414948,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Harrison.AP.723446_TMY3//RefBldgSmallOfficeNew2004_v1.3_7.1_4A_USA_MD_BALTIMORE.csv,17.0,2.0,2.8022304795261155,[12 17]
364,BALTIMORE,Stand-aloneRetailNew,MD,38.91119662131761,68.482405139378,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Harrison.AP.723446_TMY3//RefBldgStand-aloneRetailNew2004_v1.3_7.1_4A_USA_MD_BALTIMORE.csv,17.0,1.0,23.760626452629612,[17]
365,BALTIMORE,StripMallNew,MD,35.316327509528435,60.055345423057325,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Harrison.AP.723446_TMY3//RefBldgStripMallNew2004_v1.3_7.1_4A_USA_MD_BALTIMORE.csv,18.0,1.0,19.133407571352198,[18]
366,BALTIMORE,SuperMarketNew,MD,200.62501033168556,284.9874930090413,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Harrison.AP.723446_TMY3//RefBldgSuperMarketNew2004_v1.3_7.1_4A_USA_MD_BALTIMORE.csv,12.0,2.0,71.98012866858326,[12 17]
367,BALTIMORE,WarehouseNew,MD,30.22030261807476,54.22984536409223,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Harrison.AP.723446_TMY3//RefBldgWarehouseNew2004_v1.3_7.1_4A_USA_MD_BALTIMORE.csv,16.0,2.0,17.33815120101661,[12 16]
368,ATLANTA,FullServiceRestaurantNew,GA,38.79795720708727,53.47837538646023,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Hot.Springs.Mem.AP.723415_TMY3//RefBldgFullServiceRestaurantNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,19.0,3.0,12.988490514004214,[ 9 13 19]
369,ATLANTA,HospitalNew,GA,1139.2757090729856,1356.7824786211575,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Hot.Springs.Mem.AP.723415_TMY3//RefBldgHospitalNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,12.0,2.0,190.72858634558412,[12 17]
370,ATLANTA,LargeHotelNew,GA,293.549384419211,428.1464528746962,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Hot.Springs.Mem.AP.723415_TMY3//RefBldgLargeHotelNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,21.0,2.0,76.5362722954744,[ 8 21]
371,ATLANTA,LargeOfficeNew,GA,793.0230082094489,1199.6503146549308,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Hot.Springs.Mem.AP.723415_TMY3//RefBldgLargeOfficeNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,17.0,2.0,377.0756703722431,[ 9 17]
372,ATLANTA,MediumOfficeNew,GA,85.64928405561228,128.2152752900802,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Hot.Springs.Mem.AP.723415_TMY3//RefBldgMediumOfficeNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,9.0,2.0,37.33953024982238,[ 9 14]
373,ATLANTA,MidriseApartmentNew,GA,30.10232953391417,48.506184852304365,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Hot.Springs.Mem.AP.723415_TMY3//RefBldgMidriseApartmentNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,19.0,1.0,9.53683371109974,[19]
374,ATLANTA,OutPatientNew,GA,162.31443215142468,229.17746817092797,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Hot.Springs.Mem.AP.723415_TMY3//RefBldgOutPatientNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,15.0,1.0,58.05379895996854,[15]
375,ATLANTA,PrimarySchoolNew,GA,109.51338390732387,170.9764891563081,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Hot.Springs.Mem.AP.723415_TMY3//RefBldgPrimarySchoolNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,16.0,1.0,48.48138916713165,[16]
376,ATLANTA,QuickServiceRestaurantNew,GA,23.070039495955964,30.920539995543074,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Hot.Springs.Mem.AP.723415_TMY3//RefBldgQuickServiceRestaurantNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,20.0,3.0,7.4003301397171635,[ 7 12 20]
377,ATLANTA,SecondarySchoolNew,GA,430.1076931288516,686.8703562750213,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Hot.Springs.Mem.AP.723415_TMY3//RefBldgSecondarySchoolNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,16.0,1.0,226.20344759767696,[16]
378,ATLANTA,SmallHotelNew,GA,71.731319583779,110.45653383978096,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Hot.Springs.Mem.AP.723415_TMY3//RefBldgSmallHotelNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,21.0,2.0,21.411692604390854,[ 9 21]
379,ATLANTA,SmallOfficeNew,GA,7.876554141320884,11.551566763040064,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Hot.Springs.Mem.AP.723415_TMY3//RefBldgSmallOfficeNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,17.0,2.0,2.8638813807907466,[12 17]
380,ATLANTA,Stand-aloneRetailNew,GA,40.520145494946796,71.91814846610073,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Hot.Springs.Mem.AP.723415_TMY3//RefBldgStand-aloneRetailNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,17.0,1.0,25.12833608114977,[17]
381,ATLANTA,StripMallNew,GA,36.73057997034859,63.221320049400816,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Hot.Springs.Mem.AP.723415_TMY3//RefBldgStripMallNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,18.0,1.0,20.423286392623254,[18]
382,ATLANTA,SuperMarketNew,GA,204.48408751674043,287.5035699858782,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Hot.Springs.Mem.AP.723415_TMY3//RefBldgSuperMarketNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,12.0,2.0,72.61046042678038,[12 17]
383,ATLANTA,WarehouseNew,GA,30.279242556345693,54.778028759875355,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Hot.Springs.Mem.AP.723415_TMY3//RefBldgWarehouseNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,16.0,2.0,17.368973678990866,[12 16]
384,ATLANTA,FullServiceRestaurantNew,GA,38.33880068208454,52.82634310846768,COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT.part1//USA_AR_Jonesboro.Muni.AP.723407_TMY3//RefBldgFullServiceRestaurantNew2004_v1.3_7.1_3A_USA_GA_ATLANTA.csv,19.0,3.0,12.84811367482648,[ 9 13 19]
